method,avg_ue_throughput_mbps,avg_ue_throughput_mbps_std,avg_ue_throughput_mbps_ci95,p5_ue_throughput_mbps,p5_ue_throughput_mbps_std,p5_ue_throughput_mbps_ci95,total_throughput_mbps,total_throughput_mbps_std,total_throughput_mbps_ci95,avg_cell_load,avg_cell_load_std,avg_cell_load_ci95,load_std,load_std_std,load_std_ci95,jain_load_fairness,jain_load_fairness_std,jain_load_fairness_ci95,outage_rate,outage_rate_std,outage_rate_ci95,overload_rate,overload_rate_std,overload_rate_ci95,handovers_per_1000_decisions,handovers_per_1000_decisions_std,handovers_per_1000_decisions_ci95,pingpong_rate,pingpong_rate_std,pingpong_rate_ci95,weak_target_ho_rate,weak_target_ho_rate_std,weak_target_ho_rate_ci95
no_handover,4.928841647117486,0.16876078468058456,0.19097080554941642,2.3901649254313666,0.23059018699769795,0.26093736080978985,266.1574489443444,9.113082372751574,10.312423499668494,0.19934689215255538,0.0068953703849868285,0.007802846137951265,0.0898200692727809,0.011402292054788935,0.012902908118933801,0.8309062727123635,0.031077167612807266,0.03516712573033457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
load_aware,4.923503124979741,0.16812932603475286,0.19025624282387643,2.3878439897663184,0.22950158721995859,0.2597054941953434,265.869168748906,9.078983605876648,10.273837112489321,0.1988627966277289,0.006913683125064676,0.007823568954161813,0.08238813277167906,0.010759894023947248,0.012175966313908467,0.852656305906744,0.02598144357831322,0.029400771149993454,0.0,0.0,0.0,0.0,0.0,0.0,5.761316872427983,1.7700257751116515,2.002972721157245,0.0,0.0,0.0,0.0,0.0,0.0
a3_ttt,4.917483194437401,0.16900641096174418,0.19124875785252962,2.3837367731881107,0.22702278326866512,0.25690046346339007,265.5440924996197,9.126346191934248,10.327432924036671,0.19855515316085004,0.006871873541267831,0.007776256956220576,0.07829055674476978,0.010513711220306001,0.011897384246322291,0.8645408693085841,0.023633901652248643,0.026744277382616716,0.0,0.0,0.0,0.0,0.0,0.0,12.139917695473251,2.5863796481433203,2.926764092720947,0.0,0.0,0.0,0.0,0.0,0.0
strongest_rsrp,4.911869231718732,0.17007466095434431,0.19245759651727706,2.3834049071320433,0.22691073930286948,0.25677367378031624,265.2409385128115,9.184031691534585,10.392710211932952,0.19850106264292922,0.0068340656220645364,0.007733473268054713,0.07418913789820801,0.008426248737286028,0.009535198074392431,0.8763021207637817,0.01657550715323532,0.01875695209307496,0.0,0.0,0.0,0.0,0.0,0.0,19.135802469135804,5.2620213384956465,5.954537695073553,0.1154970760233918,0.03128791602197763,0.03540561000583553,0.0,0.0,0.0
gnn_dqn,4.866873518531883,0.16263828271330463,0.1840425423579272,2.354064527856167,0.20408441017506215,0.23094325073787716,262.8111700007218,8.782467266518454,9.938297287328073,0.29139467394369145,0.015493038936499483,0.017532023993084525,0.3442616371985568,0.02305469261460861,0.02608884065477158,0.41797016499808076,0.017919327558303746,0.020277628035388143,0.0,0.0,0.0,0.03703703703703704,0.052378280087892415,0.05927160365253123,35.18518518518518,1.3334857404131388,1.508981168328584,0.0,0.0,0.0,0.0,0.0,0.0
flat_dqn,2.2486002944664887,0.08319382380391567,0.09414267407348582,1.0900810127804714,0.10413155029751753,0.11783594204699341,121.4244159011904,4.4924664854114384,5.083704399968226,0.24292197165801696,0.016280580584699975,0.018423211262954254,0.6870870938343603,0.046048435732381585,0.05210871046106931,0.11111111110849257,3.357655043711587e-13,3.7995443649322673e-13,0.0,0.0,0.0,0.11111111111111112,0.0,0.0,28.80658436213992,0.5819808898654705,0.6585733739170129,0.0,0.0,0.0,0.0,0.0,0.0
