method,avg_ue_throughput_mbps,avg_ue_throughput_mbps_std,avg_ue_throughput_mbps_ci95,p5_ue_throughput_mbps,p5_ue_throughput_mbps_std,p5_ue_throughput_mbps_ci95,total_throughput_mbps,total_throughput_mbps_std,total_throughput_mbps_ci95,avg_cell_load,avg_cell_load_std,avg_cell_load_ci95,load_std,load_std_std,load_std_ci95,jain_load_fairness,jain_load_fairness_std,jain_load_fairness_ci95,outage_rate,outage_rate_std,outage_rate_ci95,overload_rate,overload_rate_std,overload_rate_ci95,handovers_per_1000_decisions,handovers_per_1000_decisions_std,handovers_per_1000_decisions_ci95,pingpong_rate,pingpong_rate_std,pingpong_rate_ci95,weak_target_ho_rate,weak_target_ho_rate_std,weak_target_ho_rate_ci95
load_aware,4.720936922367646,0.22918549171509095,0.20088994086121,2.0023453670895193,0.18685685790305373,0.1637872574426328,627.8846106748969,30.48167039810716,26.71836213454099,1.8404242547758893,0.08355676205670909,0.07324073117592204,0.5840928567291735,0.09357580505670313,0.08202280957317425,0.9065222170651109,0.017934817049554273,0.015720560274035622,0.0015413533834586466,0.00026315789473684215,0.00023066806504734672,0.9923684210526316,0.001354688176445659,0.0011874365415323073,483.0827067669173,7.588259957682623,6.651403117756664,0.27448409362415205,0.009056104702223844,0.007938025764406977,0.0036281023036406033,0.0012712534047347155,0.0011143027396090317
no_handover,4.061506646723094,0.3442460903911832,0.3017450023684633,1.023252074883887,0.060334930394758415,0.052885898265916026,540.1803840141715,45.784730022027325,40.13208531500559,1.6636050210920132,0.05956480916364764,0.052210857243833654,1.690022929414853,0.21508975892512325,0.1885344863104821,0.49419601426750237,0.052680013565763226,0.0461760678243538,1.8796992481203007e-05,3.759398496240601e-05,3.295258072104953e-05,0.5426315789473684,0.05682382747071031,0.04980828085876145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gnn_dqn,3.8777567701695133,0.1455056549334145,0.12754132993236303,1.6008958497209875,0.0732559287460303,0.06421165268095383,515.7416504325454,19.352252106144093,16.96299688100425,2.6420166772292233,0.11943082705547178,0.10468573557878193,1.0318873925495535,0.09225533381968382,0.08086536550143734,0.8673976528867968,0.011519922518744511,0.010097657300197783,0.002819548872180451,0.0008469082951931436,0.0007423478513540483,0.9821052631578947,0.0069798880051973045,0.006118141589542978,256.91729323308266,11.911510420681614,10.440899230013752,0.25575656435511057,0.006684070157591748,0.005858845813591129,0.0038882367578271736,0.0012332139002246025,0.0010809596437863429
a3_ttt,3.7681618449456984,0.41284932320317097,0.361878387249652,0.8836399900009301,0.04323948366151486,0.037901078513422386,501.1655253777779,54.90895998602175,48.12982550420373,1.5308111524569339,0.054400053144428515,0.04768374898973299,1.9810158760098944,0.19590839089928308,0.17172127593005207,0.38568319335190904,0.03561889572987824,0.03122133867711001,0.0,0.0,0.0,0.4321052631578947,0.06294289061700596,0.05517187619102393,9.154135338345863,0.59619366643435,0.5225867898336001,0.0,0.0,0.0,0.0,0.0,0.0
strongest_rsrp,3.64487842823077,0.2507951606664265,0.21983165084981954,0.8539023525498918,0.04989265470524414,0.043732840059549444,484.76883095469236,33.355756368634765,29.237609563026034,1.502568465224701,0.05232359329583291,0.04586365168312158,2.0779601885031838,0.14845752566314802,0.13012875870845364,0.3540904530811514,0.027869740323750298,0.024428904480635682,0.0,0.0,0.0,0.38302631578947366,0.02978280100086396,0.026105776098525987,44.75563909774436,2.158300766076288,1.891834033703889,0.2359420197338896,0.01086825574080379,0.009526446184249526,0.0,0.0,0.0
