method,avg_ue_throughput_mbps,avg_ue_throughput_mbps_std,avg_ue_throughput_mbps_ci95,p5_ue_throughput_mbps,p5_ue_throughput_mbps_std,p5_ue_throughput_mbps_ci95,total_throughput_mbps,total_throughput_mbps_std,total_throughput_mbps_ci95,avg_cell_load,avg_cell_load_std,avg_cell_load_ci95,load_std,load_std_std,load_std_ci95,jain_load_fairness,jain_load_fairness_std,jain_load_fairness_ci95,outage_rate,outage_rate_std,outage_rate_ci95,overload_rate,overload_rate_std,overload_rate_ci95,handovers_per_1000_decisions,handovers_per_1000_decisions_std,handovers_per_1000_decisions_ci95,pingpong_rate,pingpong_rate_std,pingpong_rate_ci95,weak_target_ho_rate,weak_target_ho_rate_std,weak_target_ho_rate_ci95
load_aware,2.478147674743943,0.28598470346592453,0.25067664509017135,0.21645967025954893,0.0938536638503869,0.08226636354429687,61.95369186859857,7.149617586648112,6.266916127254283,3.047388145969877,0.4670048941093644,0.40934783810902287,2.143224571650216,0.6109088979691399,0.5354852589760442,0.6822388146831291,0.06356159451009841,0.055714194064480124,0.2096,0.06416182665728898,0.05624032073877245,0.9464285714285715,0.018105416936623642,0.015870097668256453,201.8,43.74082760991154,38.34052585972184,0.5766495553471808,0.0159446576320233,0.013976108630520649,0.08405004702036772,0.009119095114215686,0.007993239294919612
gnn_dqn,2.4486127209364623,0.3631266435552222,0.31829453689687853,0.21096237576850582,0.07465374699551106,0.06543689439835709,61.215318023411555,9.07816608888055,7.9573634224219605,3.3205045520288947,0.44921879560918543,0.3937576353910673,1.7655775224955526,0.2823525077000309,0.24749288512724232,0.7755392513647388,0.04613060531362361,0.040435258375194356,0.2407,0.045903812477832394,0.04023646568971982,0.9867857142857144,0.010690449676496962,0.009370592297181634,7.9,4.1400483088968905,3.628912343939985,0.056891495601173014,0.07686641607228563,0.06737638435756992,0.11682958618442489,0.06816865682957526,0.05975246223746795
a3_ttt,2.17882597962227,0.5633085625591654,0.49376172537047475,0.2013087749330395,0.08277744485899939,0.07255762953371754,54.470649490556774,14.082714063979134,12.344043134261868,2.7701268639599883,0.46898134689679255,0.41108027536153013,3.044668254265433,0.4974871056660069,0.43606667458993437,0.45691775412072094,0.06949951978959071,0.06091901505602175,0.1866,0.06719330323774833,0.0588975271195659,0.6214285714285713,0.06904043476581727,0.06051660929034282,3.7,0.7483314773547882,0.6559414608027151,0.0,0.0,0.0,0.3053968253968254,0.05903054882117822,0.05174255740600363
no_handover,2.1767166638098896,0.4389716152754097,0.3847755858038908,0.21599485645896985,0.13548546188939864,0.11875824347707974,54.41791659524724,10.974290381885245,9.619389645097273,2.9622547568893354,0.49900319742999255,0.437395587613739,2.8841360226788133,0.35275570436271864,0.3092040078870963,0.509072646330506,0.07334211346433928,0.06428719691734797,0.2262,0.049930551769432716,0.04376605830092539,0.7685714285714285,0.11115465416642319,0.09743135019078816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strongest_rsrp,2.025410504867858,0.48091399114852645,0.4215396992112242,0.19746177112928565,0.06962497889534491,0.06102898481085594,50.63526262169645,12.022849778713157,10.5384924802806,2.7793308362835925,0.473117630392111,0.4147058877008692,3.2429316680427553,0.5130885125985746,0.4497419107167106,0.43395803153009627,0.02515844038917622,0.02205234530388512,0.1871,0.07280824129176584,0.06381923732543344,0.6025,0.03862430238455936,0.033855693760429725,29.3,6.42339474110069,5.630353736666996,0.2964176598959207,0.06090807684335375,0.05338828327860376,0.31315054184619406,0.09321336739793548,0.081705118958071
