method,avg_ue_throughput_mbps,avg_ue_throughput_mbps_std,avg_ue_throughput_mbps_ci95,p5_ue_throughput_mbps,p5_ue_throughput_mbps_std,p5_ue_throughput_mbps_ci95,total_throughput_mbps,total_throughput_mbps_std,total_throughput_mbps_ci95,avg_cell_load,avg_cell_load_std,avg_cell_load_ci95,load_std,load_std_std,load_std_ci95,jain_load_fairness,jain_load_fairness_std,jain_load_fairness_ci95,outage_rate,outage_rate_std,outage_rate_ci95,overload_rate,overload_rate_std,overload_rate_ci95,handovers_per_1000_decisions,handovers_per_1000_decisions_std,handovers_per_1000_decisions_ci95,pingpong_rate,pingpong_rate_std,pingpong_rate_ci95,weak_target_ho_rate,weak_target_ho_rate_std,weak_target_ho_rate_ci95
load_aware,4.373985848577065,0.04242298752971487,0.03718538809862679,1.2334962793503883,0.08550157357123703,0.07494543362988629,1093.4964621442662,10.605746882428775,9.296347024656747,2.1129733251719536,0.03220366216594387,0.02822775446917553,1.1372237271248307,0.09052013316136755,0.0793443950638111,0.7762028350696324,0.022725476594395173,0.019919758510570023,0.0,0.0,0.0,0.9994999999999999,0.0002499999999999947,0.00021913466179497473,285.49999999999994,5.871030573928227,5.146185196822983,0.3069215645113352,0.007541724776963498,0.0066106132334028496,0.0,0.0,0.0
gnn_dqn,3.705521742320412,0.07043711155051469,0.06174085046974908,1.488497054759021,0.10658917308555613,0.09342952958043944,926.380435580103,17.609277887628675,15.435212617437275,2.666596551790985,0.0650839024027559,0.05704855576530144,1.0446304290369584,0.05288792515733511,0.04635831036956325,0.8677607502014462,0.011971412400480027,0.010493405630349652,1e-05,2e-05,1.753077294359835e-05,0.984125,0.0035487673916445727,0.0031106317686283385,131.23000000000002,10.624622346229541,9.312892098161564,0.16414348859719646,0.0091088717523668,0.00798427812315496,0.0,0.0,0.0
no_handover,3.4328350996528814,0.07457571592484316,0.06536849714923586,0.9013515193240543,0.10818206938054982,0.09482576474395112,858.2087749132204,18.64392898121082,16.34212428730899,2.127935683214447,0.041885884010469845,0.036714596106472173,2.0850567186141977,0.13289519130558763,0.11648777120371612,0.5106542151153846,0.03193098603102262,0.027988743298753414,0.0,0.0,0.0,0.6034999999999998,0.05683666290344647,0.04981953161160797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3_ttt,3.1578734944859344,0.11711901197618957,0.10265934031665776,0.7462099921864882,0.08142287734899409,0.07137029876098364,789.4683736214836,29.2797529940474,25.664835079164448,2.056922453047478,0.03375828321522204,0.029590439900587243,2.4502124350082277,0.11762046425581031,0.10309888261946182,0.42033707316161156,0.022792094750170657,0.019978151898711088,0.0,0.0,0.0,0.5237499999999999,0.05877127274442847,0.05151529190444329,9.31,0.3786819245752296,0.3319293418786593,0.0010309278350515464,0.002061855670103093,0.001807296179752407,0.0,0.0,0.0
strongest_rsrp,3.062769016829015,0.09507627187830263,0.08333802673111743,0.6671661158622605,0.03305057216059005,0.02897010381016584,765.6922542072537,23.76906796957563,20.83450668277933,2.0341842951590126,0.03356966454633517,0.029425108347728268,2.68806688500557,0.14136162258133184,0.12390892542059868,0.37230453694068993,0.026274738756824356,0.02303082396491257,0.0,0.0,0.0,0.47825000000000006,0.02440350896899869,0.021390618738129096,43.34,1.2487593843491236,1.0945858614106074,0.23732341086741987,0.008119879957043913,0.007117388592810597,0.0,0.0,0.0
