method,avg_ue_throughput_mbps,avg_ue_throughput_mbps_std,avg_ue_throughput_mbps_ci95,p5_ue_throughput_mbps,p5_ue_throughput_mbps_std,p5_ue_throughput_mbps_ci95,total_throughput_mbps,total_throughput_mbps_std,total_throughput_mbps_ci95,avg_cell_load,avg_cell_load_std,avg_cell_load_ci95,load_std,load_std_std,load_std_ci95,jain_load_fairness,jain_load_fairness_std,jain_load_fairness_ci95,outage_rate,outage_rate_std,outage_rate_ci95,overload_rate,overload_rate_std,overload_rate_ci95,handovers_per_1000_decisions,handovers_per_1000_decisions_std,handovers_per_1000_decisions_ci95,pingpong_rate,pingpong_rate_std,pingpong_rate_ci95,weak_target_ho_rate,weak_target_ho_rate_std,weak_target_ho_rate_ci95
load_aware,2.622233237178777,0.19125689654874703,0.16764406136466817,0.8457560049588688,0.14005342165902743,0.12276223675392245,419.5573179486043,30.601103447799556,26.823049818346934,3.1980727716806556,0.2277778313307888,0.19965607213226505,1.934007435361368,0.3158391459530069,0.27684521772010917,0.7393609109367848,0.03881952893470054,0.03402681737658408,0.01415625,0.0015256594373417682,0.0013372994592648275,0.9792500000000001,0.004959208606219339,0.004346938002778504,230.46875,17.595373481934107,15.423024868479917,0.3721744179686143,0.007376306466042071,0.006465617690928995,0.0451077658949097,0.002734714786797498,0.002397083199642395
no_handover,2.3629524555769166,0.10440252200754517,0.0915128454026652,0.762298535838245,0.10583095751380503,0.09276492432890598,378.07239289230665,16.704403521207237,14.642055264426443,3.1374055188800476,0.3083218349233399,0.2702560040797342,2.946437340239907,0.23945290907424405,0.20988972898323366,0.5286845811873933,0.015922680007282065,0.01395684439306174,0.012828125000000001,0.004614377581944287,0.004044680283254784,0.643,0.07026667951454653,0.061591460203505435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strongest_rsrp,2.352119680879621,0.13630019870167998,0.11947239178032451,0.7838370090737803,0.09652400878748119,0.08460702408296124,376.3391489407394,21.808031792268785,19.115582684851912,2.7408232438375237,0.21530885209265338,0.18872652993915534,2.938474173236073,0.31191562870349454,0.27340610321803455,0.4704861044632621,0.020199605880330495,0.017705735211912398,0.002078125,0.0008022186033120897,0.0007031756092897419,0.556125,0.03529208480665316,0.030934876272582682,42.015625,3.2578780718820646,2.8556560378046227,0.2469613988880787,0.010389207668406706,0.009106542034936438,0.008025445293599614,0.004871335413912322,0.00426991375367033
a3_ttt,2.337553420487447,0.13542853160141666,0.11870834187946847,0.7848071185006863,0.10797556824480453,0.09464475851778383,374.0085472779915,21.66856505622668,18.993334700714968,2.8322755205590933,0.21376545531269353,0.1873736830135875,2.9014881289787375,0.25634112636101347,0.22469290411705903,0.4908634654718183,0.018360226879686515,0.016093448431036775,0.003953125,0.0017213049192400512,0.0015087902852948115,0.5922499999999998,0.035861277863456,0.031433795984576844,7.171875,0.42904781930456193,0.3760769951087144,0.0,0.0,0.0,0.0,0.0,0.0
gnn_dqn,1.7713562042341078,0.14197868282562148,0.12444980257235684,0.2408142459660625,0.031184486976503657,0.027334408027384273,283.41699267745724,22.716589252099443,19.9119684115771,5.330259365454968,0.37441094039563005,0.32818565918374626,5.396494950532133,0.48026489864414473,0.42097074454553884,0.5010765331513805,0.024682771937258315,0.021635403522534836,0.055406250000000004,0.009509760610814556,0.008335672700808256,0.8598750000000001,0.014027874037073474,0.01229597373126667,273.046875,55.06703124091129,48.268381068122636,0.25602439461205495,0.010140418155803861,0.00888846841212699,0.03234142844165331,0.006428833982541549,0.005635121442001251
