method,avg_ue_throughput_mbps,avg_ue_throughput_mbps_std,avg_ue_throughput_mbps_ci95,p5_ue_throughput_mbps,p5_ue_throughput_mbps_std,p5_ue_throughput_mbps_ci95,total_throughput_mbps,total_throughput_mbps_std,total_throughput_mbps_ci95,avg_cell_load,avg_cell_load_std,avg_cell_load_ci95,load_std,load_std_std,load_std_ci95,jain_load_fairness,jain_load_fairness_std,jain_load_fairness_ci95,outage_rate,outage_rate_std,outage_rate_ci95,overload_rate,overload_rate_std,overload_rate_ci95,handovers_per_1000_decisions,handovers_per_1000_decisions_std,handovers_per_1000_decisions_ci95,pingpong_rate,pingpong_rate_std,pingpong_rate_ci95,weak_target_ho_rate,weak_target_ho_rate_std,weak_target_ho_rate_ci95
strongest_rsrp,0.41650681410447526,0.07731913476204731,0.06777320978544668,0.03798679623063805,0.004020204810487585,0.0035238648859709843,20.82534070522376,3.8659567381023665,3.388660489272335,7.258282591044145,0.2703303427443593,0.23695499292082411,6.989072877810121,0.6127241471182875,0.5370763950095324,0.5246451314326441,0.02564527004585916,0.02247907031256105,0.7044499999999999,0.024981693297292752,0.0218974196470726,0.82725,0.019062397540708275,0.01670892815233822,42.6,5.793530875036397,5.0782537155994865,0.29339612666992576,0.037096602165932815,0.03251660547749835,0.841872030956228,0.01300541273297851,0.011399746882981458
load_aware,0.4055689723099955,0.06015829145737645,0.05273106741070394,0.042237887437958664,0.004699240383489294,0.004119065808516942,20.278448615499777,3.00791457286882,2.6365533705351947,7.256638165501999,0.2714658795846278,0.23795033484661604,6.008956447769338,0.731914371488812,0.6415512330363429,0.5966933884367509,0.044439174296725815,0.038952653719844604,0.7078,0.018954814691787444,0.01661462762748539,0.9390000000000001,0.05139552509703539,0.0450501640396569,9.6,3.790118731649445,3.3221855456912692,0.39983488414522894,0.15173822076926105,0.13300441475857575,0.08769111476008026,0.028071895279330846,0.02460610111192097
no_handover,0.40081891383350043,0.06090230707898904,0.053383225857152966,0.04396645205895011,0.00589147966481634,0.005164109615286109,20.040945691675024,3.0451153539494498,2.6691612928576465,7.3664149465601145,0.3591113701915823,0.3147749946146561,5.798860995475008,0.7545134445083865,0.6613601939284409,0.6195592700359426,0.04655428145220447,0.04080662688454843,0.71685,0.04309773775965507,0.037776832752362904,0.9332500000000001,0.05587709727607539,0.04897843525471178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a3_ttt,0.39193089028889766,0.044293793880393215,0.03882522216638598,0.03881019135175384,0.0035745868129671526,0.003133263489265401,19.596544514444883,2.214689694019661,1.9412611083192994,7.305877308005068,0.2937094170478214,0.2574476550830996,6.8412954396165375,0.9503628280577158,0.8330297476357907,0.542177688659393,0.047373280861151175,0.04152451151850773,0.7182000000000001,0.022198198125073083,0.01945757855438334,0.8727500000000001,0.05154124561940665,0.045177893709202555,6.45,1.5999999999999999,1.402461835487868,0.0,0.0,0.0,0.7152732393464659,0.030458341817673592,0.026697913732207118
gnn_dqn,0.3770543755353062,0.08772601119738366,0.07689523917744497,0.039452861821912176,0.004224067670699543,0.0037025585616714033,18.85271877676531,4.386300559869182,3.8447619588722484,7.4628175165093795,0.29317517049310365,0.25697936733076676,6.270881040806266,0.8658001624634105,0.7589073031338307,0.5896388386499208,0.05425896936811016,0.04756008360729986,0.72665,0.032243836620352746,0.02826296893109428,0.9357500000000002,0.05359337645642411,0.04697666569691803,6.0,2.692582403567252,2.3601525374432897,0.21617161216987962,0.16087788987476256,0.14101568795198413,0.21060033550587134,0.07581293536508595,0.06645296780365095
