time_s,ue_id,imsi,serving_cell,x_m,y_m,z_m,dl_throughput_mbps,handover_count,rsrp_dbm_cell_1,rsrp_dbm_cell_2,rsrp_dbm_cell_3,rsrp_dbm_cell_4,rsrp_dbm_cell_5,rsrp_dbm_cell_6,rsrp_dbm_cell_7,load_cell_1,load_cell_2,load_cell_3,load_cell_4,load_cell_5,load_cell_6,load_cell_7,ue_count_cell_1,ue_count_cell_2,ue_count_cell_3,ue_count_cell_4,ue_count_cell_5,ue_count_cell_6,ue_count_cell_7
1.000,0,1,7,-872.000,-250.000,1.500,0.041,0,-83.516,-90.535,-87.390,-96.556,-95.201,-91.984,-82.208,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,1,2,4,1370.000,-110.000,1.500,0.074,0,-90.297,-82.964,-91.720,-79.599,-90.718,-94.363,-96.149,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,2,3,1,30.000,-418.000,1.500,0.074,0,-70.936,-77.546,-83.719,-89.828,-91.657,-90.810,-86.058,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,3,4,6,170.000,1366.000,1.500,0.360,0,-90.322,-90.659,-83.068,-88.075,-73.572,-70.323,-86.586,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,4,5,7,-864.000,310.000,1.500,0.270,0,-83.710,-90.584,-83.107,-95.355,-92.032,-86.746,-70.604,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,5,6,4,1372.000,450.000,1.500,0.303,0,-91.102,-84.798,-90.279,-69.146,-85.604,-91.484,-95.346,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,6,7,2,590.000,-420.000,1.500,0.328,0,-79.844,-71.337,-86.557,-85.224,-90.862,-92.129,-90.902,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,7,8,5,730.000,1368.000,1.500,0.377,0,-92.265,-90.448,-87.161,-83.550,-71.503,-81.820,-91.783,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,8,9,7,-866.000,870.000,1.500,0.180,0,-88.452,-92.975,-84.127,-95.603,-90.270,-82.941,-74.460,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,9,10,4,1364.000,1010.000,1.500,0.131,0,-93.741,-89.750,-91.241,-77.483,-82.723,-90.173,-95.860,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,10,11,2,1150.000,-422.000,1.500,0.106,0,-88.418,-80.948,-91.438,-83.995,-92.401,-94.960,-95.498,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,11,12,5,1290.000,1370.000,1.500,0.041,0,-95.425,-92.587,-92.322,-83.694,-82.879,-89.907,-96.340,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,12,13,7,-868.000,-250.000,1.500,0.025,0,-83.447,-90.488,-87.347,-96.526,-95.175,-91.960,-82.173,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,13,14,4,1366.000,-110.000,1.500,0.057,0,-90.249,-82.890,-91.681,-79.552,-90.689,-94.335,-96.117,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,14,15,1,30.000,-414.000,1.500,0.385,0,-70.780,-77.477,-83.648,-89.795,-91.616,-90.764,-86.004,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,15,16,6,170.000,1372.000,1.500,0.369,0,-90.392,-90.727,-83.176,-88.134,-73.719,-70.540,-86.657,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,16,17,7,-870.000,310.000,1.500,0.262,0,-83.810,-90.652,-83.215,-95.407,-92.089,-86.815,-70.814,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,17,18,4,1368.000,450.000,1.500,0.311,0,-91.059,-84.739,-90.231,-68.973,-85.551,-91.443,-95.312,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,18,19,2,590.000,-416.000,1.500,0.328,0,-79.792,-71.188,-86.506,-85.165,-90.816,-92.090,-90.873,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,19,20,5,730.000,1364.000,1.500,0.377,0,-92.228,-90.401,-87.117,-83.482,-71.376,-81.784,-91.758,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,20,21,7,-872.000,870.000,1.500,0.180,0,-88.508,-93.026,-84.222,-95.653,-90.341,-83.051,-74.592,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,21,22,4,1370.000,1010.000,1.500,0.131,0,-93.787,-89.798,-91.303,-77.574,-82.836,-90.245,-95.909,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,22,23,2,1150.000,-418.000,1.500,0.123,0,-88.400,-80.902,-91.411,-83.926,-92.363,-94.932,-95.481,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,23,24,5,1290.000,1366.000,1.500,0.049,0,-95.400,-92.551,-92.298,-83.626,-82.847,-89.894,-96.326,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
1.000,24,25,7,-864.000,-250.000,1.500,0.033,0,-83.378,-90.442,-87.304,-96.496,-95.149,-91.935,-82.139,0.006,0.012,0.000,0.013,0.011,0.010,0.013,2,4,0,6,4,2,7
2.000,0,1,7,-844.000,-250.000,1.500,0.098,0,-83.026,-90.209,-87.088,-96.344,-95.019,-91.814,-81.971,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,1,2,4,1340.000,-110.000,1.500,0.188,0,-89.938,-82.401,-91.420,-79.251,-90.504,-94.147,-95.910,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,2,3,1,30.000,-386.000,1.500,0.000,0,-69.649,-76.998,-83.141,-89.560,-91.322,-90.438,-85.627,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,3,4,6,170.000,1332.000,1.500,0.811,0,-89.917,-90.271,-82.440,-87.741,-72.735,-69.043,-86.184,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,4,5,7,-828.000,310.000,1.500,0.549,0,-83.097,-90.169,-82.446,-95.040,-91.686,-86.329,-69.305,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,5,6,4,1344.000,450.000,1.500,0.647,0,-90.799,-84.380,-89.943,-67.900,-85.227,-91.195,-95.101,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,6,7,2,590.000,-390.000,1.500,0.680,0,-79.457,-70.189,-86.177,-84.775,-90.515,-91.833,-90.681,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,7,8,5,730.000,1336.000,1.500,0.778,0,-91.966,-90.072,-86.808,-82.994,-70.468,-81.540,-91.584,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,8,9,7,-832.000,870.000,1.500,0.385,0,-88.133,-92.685,-83.578,-95.314,-89.862,-82.303,-73.714,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,9,10,4,1328.000,1010.000,1.500,0.287,0,-93.461,-89.464,-90.859,-76.949,-82.029,-89.736,-95.564,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,10,11,2,1150.000,-394.000,1.500,0.262,0,-88.293,-80.632,-91.245,-83.505,-92.133,-94.765,-95.381,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,11,12,5,1290.000,1340.000,1.500,0.131,0,-95.236,-92.317,-92.147,-83.181,-82.647,-89.810,-96.234,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,12,13,7,-836.000,-250.000,1.500,0.123,0,-82.883,-90.115,-87.001,-96.283,-94.966,-91.765,-81.906,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
2.000,13,14,4,1332.000,-110.000,1.500,0.188,0,-89.841,-82.248,-91.339,-79.161,-90.448,-94.089,-95.846,0.011,0.025,0.000,0.030,0.024,0.022,0.030,2,4,0,6,4,2,7
